Km_MALS_h2o_c,P405
Km_MALS_h_c,P406
Km_MALS_mal__L_c,P407
Keq_MALS,P408
kcat_MALt2_2,P409
E_MALt2_2,P410
Km_MALt2_2_h_c,P411
Km_MALt2_2_h_e,P412
Km_MALt2_2_mal__L_c,P413
Km_MALt2_2_mal__L_e,P414
Keq_MALt2_2,P415
kcat_MDH,P416
E_MDH,P417
Km_MDH_h_c,P418
Km_MDH_mal__L_c,P419
Km_MDH_nad_c,P420
Km_MDH_nadh_c,P421
Km_MDH_oaa_c,P422
Keq_MDH,P423
kcat_ME1,P424
E_ME1,P425
Km_ME1_co2_c,P426
Km_ME1_mal__L_c,P427
Km_ME1_nad_c,P428
Km_ME1_nadh_c,P429
Km_ME1_pyr_c,P430
Keq_ME1,P431
kcat_ME2,P432
E_ME2,P433
Km_ME2_co2_c,P434
Km_ME2_mal__L_c,P435
Km_ME2_nadp_c,P436
Km_ME2_nadph_c,P437
Km_ME2_pyr_c,P438
Keq_ME2,P439
kcat_NADH16,P440
E_NADH16,P441
Km_NADH16_h_c,P442
Km_NADH16_h_e,P443
Km_NADH16_nad_c,P444
Km_NADH16_nadh_c,P445
Km_NADH16_q8_c,P446
Km_NADH16_q8h2_c,P447
Keq_NADH16,P448
kcat_NADTRHD,P449
E_NADTRHD,P450
Km_NADTRHD_nad_c,P451
Km_NADTRHD_nadh_c,P452
Km_NADTRHD_nadp_c,P453
Km_NADTRHD_nadph_c,P454
Keq_NADTRHD,P455
kcat_NH4t,P456
E_NH4t,P457
Km_NH4t_nh4_c,P458
Km_NH4t_nh4_e,P459
Keq_NH4t,P460
kcat_O2t,P461
E_O2t,P462
Km_O2t_o2_c,P463
Km_O2t_o2_e,P464
Keq_O2t,P465
kcat_PDH,P466
E_PDH,P467
Km_PDH_accoa_c,P468
Km_PDH_co2_c,P469
Km_PDH_coa_c,P470
Km_PDH_nad_c,P471
Km_PDH_nadh_c,P472
Km_PDH_pyr_c,P473
Keq_PDH,P474
kcat_PFK,P475
E_PFK,P476
Km_PFK_adp_c,P477
